#Copernicus Marine Service - https://marine.copernicus.eu
#Product SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001 - https://resources.marine.copernicus.eu/?option=com_csw&view=details&product_id=SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001
#Dataset METOFFICE-GLO-SST-L4-NRT-OBS-SST-MON-V2
#Variable analysed_sst (kelvin)
#Longitude: 45.54°W Latitude: 26.06°S

time,analysed_sst
"2007-01-15T12:00:00.000Z",298.81
"2007-02-15T12:00:00.000Z",299.66
"2007-03-15T12:00:00.000Z",299.72998
"2007-04-15T12:00:00.000Z",299.79
"2007-05-15T12:00:00.000Z",297.57
"2007-06-15T12:00:00.000Z",295.38998
"2007-07-15T12:00:00.000Z",293.86
"2007-08-15T12:00:00.000Z",293.44998
"2007-09-15T12:00:00.000Z",294.72998
"2007-10-15T12:00:00.000Z",295.78
"2007-11-15T12:00:00.000Z",296.52
"2007-12-15T12:00:00.000Z",298.03
"2008-01-15T12:00:00.000Z",298.71
"2008-02-15T12:00:00.000Z",299.25
"2008-03-15T12:00:00.000Z",299.41
"2008-04-15T12:00:00.000Z",298.85
"2008-05-15T12:00:00.000Z",297.22998
"2008-06-15T12:00:00.000Z",295.59
"2008-07-15T12:00:00.000Z",295.00998
"2008-08-15T12:00:00.000Z",295.68
"2008-09-15T12:00:00.000Z",294.79
"2008-10-15T12:00:00.000Z",295.22
"2008-11-15T12:00:00.000Z",296.69998
"2008-12-15T12:00:00.000Z",297.43
"2009-01-15T12:00:00.000Z",298.62
"2009-02-15T12:00:00.000Z",299.41
"2009-03-15T12:00:00.000Z",299.94
"2009-04-15T12:00:00.000Z",299.24
"2009-05-15T12:00:00.000Z",297.54
"2009-06-15T12:00:00.000Z",296.15
"2009-07-15T12:00:00.000Z",295.04
"2009-08-15T12:00:00.000Z",294.61
"2009-09-15T12:00:00.000Z",295.55
"2009-10-15T12:00:00.000Z",295.82
"2009-11-15T12:00:00.000Z",298.72998
"2009-12-15T12:00:00.000Z",299.08
"2010-01-15T12:00:00.000Z",300.35
"2010-02-15T12:00:00.000Z",300.43
"2010-03-15T12:00:00.000Z",299.94
"2010-04-15T12:00:00.000Z",299.29
"2010-05-15T12:00:00.000Z",298.03
"2010-06-15T12:00:00.000Z",296
"2010-07-15T12:00:00.000Z",295.21
"2010-08-15T12:00:00.000Z",294.25
"2010-09-15T12:00:00.000Z",294.44998
"2010-10-15T12:00:00.000Z",295.1
"2010-11-15T12:00:00.000Z",296.34
"2010-12-15T12:00:00.000Z",298.05
"2011-01-15T12:00:00.000Z",299.54
"2011-02-15T12:00:00.000Z",299.93
"2011-03-15T12:00:00.000Z",298.91
"2011-04-15T12:00:00.000Z",299.00998
"2011-05-15T12:00:00.000Z",296.94
"2011-06-15T12:00:00.000Z",294.91
"2011-07-15T12:00:00.000Z",294.3
"2011-08-15T12:00:00.000Z",294.22998
"2011-09-15T12:00:00.000Z",294.34
"2011-10-15T12:00:00.000Z",295.09
"2011-11-15T12:00:00.000Z",295.63
"2011-12-15T12:00:00.000Z",297.21
"2012-01-15T12:00:00.000Z",297.86
"2012-02-15T12:00:00.000Z",298.78
"2012-03-15T12:00:00.000Z",299.05
"2012-04-15T12:00:00.000Z",298.63998
"2012-05-15T12:00:00.000Z",296.91998
"2012-06-15T12:00:00.000Z",295.88
"2012-07-15T12:00:00.000Z",295.03
"2012-08-15T12:00:00.000Z",295.13
"2012-09-15T12:00:00.000Z",295.53
"2012-10-15T12:00:00.000Z",295.11
"2012-11-15T12:00:00.000Z",296.66998
"2012-12-15T12:00:00.000Z",298.47998
"2013-01-15T12:00:00.000Z",299.06
"2013-02-15T12:00:00.000Z",299.83
"2013-03-15T12:00:00.000Z",299.38998
"2013-04-15T12:00:00.000Z",298.52
"2013-05-15T12:00:00.000Z",297.22998
"2013-06-15T12:00:00.000Z",295.99
"2013-07-15T12:00:00.000Z",295.49
"2013-08-15T12:00:00.000Z",294.99
"2013-09-15T12:00:00.000Z",294.84
"2013-10-15T12:00:00.000Z",295.47998
"2013-11-15T12:00:00.000Z",296.41998
"2013-12-15T12:00:00.000Z",298.36
"2014-01-15T12:00:00.000Z",300.16998
"2014-02-15T12:00:00.000Z",299.81
"2014-03-15T12:00:00.000Z",299.63
"2014-04-15T12:00:00.000Z",298.94
"2014-05-15T12:00:00.000Z",297.86
"2014-06-15T12:00:00.000Z",296.4
"2014-07-15T12:00:00.000Z",295.66
"2014-08-15T12:00:00.000Z",295.13998
"2014-09-15T12:00:00.000Z",295.03
"2014-10-15T12:00:00.000Z",295.72
"2014-11-15T12:00:00.000Z",296.81
"2014-12-15T12:00:00.000Z",298.25
"2015-01-15T12:00:00.000Z",300.15
"2015-02-15T12:00:00.000Z",299.86
"2015-03-15T12:00:00.000Z",299.79
"2015-04-15T12:00:00.000Z",299.03
"2015-05-15T12:00:00.000Z",297.32
"2015-06-15T12:00:00.000Z",296.68
"2015-07-15T12:00:00.000Z",295.38998
"2015-08-15T12:00:00.000Z",295.44
"2015-09-15T12:00:00.000Z",295.27
"2015-10-15T12:00:00.000Z",295.38998
"2015-11-15T12:00:00.000Z",296.9
"2015-12-15T12:00:00.000Z",298.62
"2016-01-15T12:00:00.000Z",299.54
"2016-02-15T12:00:00.000Z",300.81
"2016-03-15T12:00:00.000Z",300.03
"2016-04-15T12:00:00.000Z",300.37
"2016-05-15T12:00:00.000Z",297.44998
"2016-06-15T12:00:00.000Z",295.34
"2016-07-15T12:00:00.000Z",294.19
"2016-08-15T12:00:00.000Z",294.88
"2016-09-15T12:00:00.000Z",295.11
"2016-10-15T12:00:00.000Z",295.57
"2016-11-15T12:00:00.000Z",296.5
"2016-12-15T12:00:00.000Z",297.91
"2017-01-15T12:00:00.000Z",300.97998
"2017-02-15T12:00:00.000Z",300.28
"2017-03-15T12:00:00.000Z",299.94
"2017-04-15T12:00:00.000Z",299.06
"2017-05-15T12:00:00.000Z",297.04
"2017-06-15T12:00:00.000Z",296
"2017-07-15T12:00:00.000Z",295.44998
"2017-08-15T12:00:00.000Z",294.85
"2017-09-15T12:00:00.000Z",295
"2017-10-15T12:00:00.000Z",295.4
"2017-11-15T12:00:00.000Z",296.36
"2017-12-15T12:00:00.000Z",297.63998
"2018-01-15T12:00:00.000Z",299.24
"2018-02-15T12:00:00.000Z",299.38
"2018-03-15T12:00:00.000Z",300.05
"2018-04-15T12:00:00.000Z",299.49
"2018-05-15T12:00:00.000Z",297.5
"2018-06-15T12:00:00.000Z",296.02
"2018-07-15T12:00:00.000Z",295.86
"2018-08-15T12:00:00.000Z",295.59
"2018-09-15T12:00:00.000Z",295.22
"2018-10-15T12:00:00.000Z",296.29
"2018-11-15T12:00:00.000Z",296.97998
"2018-12-15T12:00:00.000Z",298.68
"2019-01-15T12:00:00.000Z",300.62
"2019-02-15T12:00:00.000Z",300.36
"2019-03-15T12:00:00.000Z",300.53
"2019-04-15T12:00:00.000Z",299.74
"2019-05-15T12:00:00.000Z",298.94
"2019-06-15T12:00:00.000Z",297.38
"2019-07-15T12:00:00.000Z",295.8
"2019-08-15T12:00:00.000Z",295.12
"2019-09-15T12:00:00.000Z",294.91998
"2019-10-15T12:00:00.000Z",295.97
"2019-11-15T12:00:00.000Z",297.3
"2019-12-15T12:00:00.000Z",297.88998
"2020-01-15T12:00:00.000Z",299.69998
"2020-02-15T12:00:00.000Z",299.71
"2020-03-15T12:00:00.000Z",299.21
"2020-04-15T12:00:00.000Z",298.49
"2020-05-15T12:00:00.000Z",297.18
"2020-06-15T12:00:00.000Z",296.13998
"2020-07-15T12:00:00.000Z",295.33
"2020-08-15T12:00:00.000Z",295.33
"2020-09-15T12:00:00.000Z",296.07
"2020-10-15T12:00:00.000Z",296.54
"2020-11-15T12:00:00.000Z",297.12
"2020-12-15T12:00:00.000Z",298.62
"2021-01-15T12:00:00.000Z",299.58
"2021-02-15T12:00:00.000Z",299.81
"2021-03-15T12:00:00.000Z",299.94
"2021-04-15T12:00:00.000Z",299.29
