date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-12-30,0,-2.8,224405000,0.0525,0
2020-12-30,0,-2.9,224405000,0.4986,0
2020-12-30,0,50.9,255501000,0.9022,0
2020-12-30,0,50.8,255501000,0.1544,0
2020-12-30,0,51,255501000,0.6477,0
2020-12-30,0,-134.3,338013000,0.4755,0
2020-12-30,0,-134.4,338013000,0.3394,0
2020-12-30,0,165.7,367767000,3.4294,1.9619
2020-12-30,0,165.9,367767000,3.178,2.8069
2020-12-30,0,165.8,367767000,3.5561,3.1874
2020-12-30,0,166,367767000,5.5033,3.0344
2020-12-30,0,165.6,367767000,1.4833,0.7863
2020-12-30,0,166.1,367767000,2.2486,0
2020-12-30,0,-114.5,412421028,0.4444,0
2020-12-30,0,-114.4,412421028,0.5377,0
2020-12-30,0,87.4,412421356,1.2336,0
2020-12-30,0,87.5,412679810,1.0483,0
2020-12-30,0,168.3,416016600,0.7163,0
2020-12-30,0,168.4,416016600,0.5163,0
2020-12-30,0,168.1,416016600,0.7805,0
2020-12-30,0,168.2,416016600,0.7019,0
2020-12-30,0,175.4,416248600,0.4302,0
2020-12-30,0,176,416248600,0.1416,0
2020-12-30,0,175.6,416248600,0.4341,0
2020-12-30,0,175.8,416248600,0.428,0
2020-12-30,0,175.5,416248600,0.3883,0
2020-12-30,0,175.9,416248600,0.4991,0
2020-12-30,0,175.7,416248600,0.4383,0
2020-12-30,0,155.5,431700060,3.5677,3.5677
2020-12-30,0,150.4,432487000,0.3208,0
2020-12-30,0,157,432918000,0.303,0
2020-12-30,0,157.2,432918000,1.5269,0
2020-12-30,0,151.8,432948000,0.3144,0
2020-12-30,0,151.9,432948000,0.0905,0
2020-12-30,0,-167.2,440620000,0.7602,0.7602
2020-12-30,0,152.3,510060000,0.1647,0
2020-12-30,0,152.2,510060000,0.4708,0
2020-12-30,0,-157.9,529440000,0.6091,0
2020-12-30,0,-168.8,529695000,0.1491,0
2020-12-30,0,168.6,538060020,0.5958,0
2020-12-30,0,168.3,538060020,3.4499,3.4499
2020-12-30,0,168.4,538060020,1.2588,0.8458
2020-12-30,0,168.2,538060020,1.5091,0.9994
2020-12-30,0,168.2,538060022,0.2188,0
2020-12-30,0,168.1,538060022,0.3616,0
2020-12-30,0,158.5,544117120,0.39,0
2020-12-30,0,-6.7,627074000,0.1658,0
2020-12-30,0,-6.6,627074000,0.7991,0
2020-12-30,0,-93,735058209,0.2691,0.1063
2020-12-30,0,-93.1,735058209,1.5052,0
2020-12-30,0,-93.2,735058209,0.7152,0
2020-12-30,2,-4,224431000,0.1411,0
2020-12-30,2,-3.9,224431000,0.538,0
2020-12-30,2,-8.4,224587000,0.4611,0
2020-12-30,2,-8.5,224587000,0.1633,0
2020-12-30,2,69,226169000,0.728,0
2020-12-30,2,-2.3,332001000,0.8577,0
2020-12-30,2,102.2,412439601,0.2336,0
2020-12-30,2,102.1,412439601,0.6505,0
2020-12-30,2,89.5,412440452,0.4761,0
2020-12-30,2,89.6,412440452,0.4213,0
2020-12-30,2,160.4,412460007,1.0597,0
2020-12-30,2,160.3,412460007,0.4397,0
2020-12-30,2,159.6,412460055,0.8261,0
2020-12-30,2,157,412460282,6.2344,6.2344
2020-12-30,2,170.2,412695650,0.6391,0
2020-12-30,2,-120.6,413691207,0.298,0
2020-12-30,2,-120.5,413691207,0.7597,0
2020-12-30,2,-120.7,413691207,0.9419,0.9419
2020-12-30,2,-120.8,413691207,0.8077,0.8077
2020-12-30,2,166.3,416242900,0.8483,0
2020-12-30,2,166.4,416242900,0.3491,0
2020-12-30,2,166.1,416242900,0.1,0
2020-12-30,2,166.2,416242900,0.7877,0
2020-12-30,2,102,416350000,0.5191,0
2020-12-30,2,102.1,416350000,0.2641,0
2020-12-30,2,163.5,416500000,0.05,0
2020-12-30,2,163.8,416500000,0.6002,0
2020-12-30,2,163.9,416500000,0.6497,0
2020-12-30,2,163.6,416500000,0.5627,0
2020-12-30,2,163.7,416500000,0.568,0
2020-12-30,2,66.1,417000758,17.2825,0
2020-12-30,2,66.6,417000835,3.9216,3.9216
2020-12-30,2,67.5,417897034,0.2977,0.2977
2020-12-30,2,149.1,432487000,0.0166,0
2020-12-30,2,149.2,432487000,0.4991,0
2020-12-30,2,150.2,432948000,0.3922,0
2020-12-30,2,149.3,432966000,0.4161,0
2020-12-30,2,149.4,432966000,0.1905,0
2020-12-30,2,-179.8,440595000,0.4847,0
2020-12-30,2,-169.9,440765000,0.285,0
2020-12-30,2,-170,440765000,0.5819,0
2020-12-30,2,-153,441680000,0.8423,0
2020-12-30,2,154.5,510060000,0.5058,0
2020-12-30,2,154.6,510060000,0.1438,0
2020-12-30,2,90.4,525122937,7.6791,0
2020-12-30,2,91.1,525122937,6.2213,0
2020-12-30,2,-168.8,529695000,0.7522,0
2020-12-30,2,63,533110278,0.8927,0.8927
2020-12-30,2,62.9,533110278,1.8177,1.6358
2020-12-30,2,169.1,538060022,0.3033,0
2020-12-30,2,159.1,544117120,0.5447,0
2020-12-30,2,-7.9,627250000,0.4024,0
2020-12-30,2,-8,627250000,1.6263,0
2020-12-30,2,-7.6,627250000,0.7566,0.0355
2020-12-30,2,-7.7,627250000,0.9755,0
2020-12-30,2,-7.8,627250000,1.9466,0.185
2020-12-30,2,-7.5,627250000,0.2888,0.2888
2020-12-30,2,-8.1,627250000,0.5074,0
2020-12-30,2,-4.3,627996000,0.4769,0
2020-12-30,2,-4.2,627996000,0.3477,0
2020-12-30,2,-7.9,636083838,0.3786,0
2020-12-30,2,-8,636083838,0.1547,0
2020-12-30,2,-89.3,735057551,6.0877,6.0877
2020-12-30,2,-89.2,735057551,0.9358,0.9358
2020-12-30,2,-103,735059598,0.8488,0
2020-12-30,2,-102.9,735059598,0.6872,0
2020-12-30,2,-102,735059598,0.9669,0
2020-12-30,-2,-17.6,224049530,0.8386,0
2020-12-30,-2,-5.9,312864000,1.1702,0
2020-12-30,-2,-154,367133000,0.3263,0
2020-12-30,-2,-154.1,367133000,0.3452,0
2020-12-30,-2,168.3,367179000,0.8141,0.0272
2020-12-30,-2,-118.5,367649000,0.5063,0
2020-12-30,-2,-116.6,367649000,0.5619,0
2020-12-30,-2,-118.8,367649000,0.498,0
2020-12-30,-2,-119.5,367649000,0.5783,0
2020-12-30,-2,-120.6,367649000,0.3147,0
2020-12-30,-2,-119.7,367649000,0.683,0
2020-12-30,-2,-118.2,367649000,0.425,0
2020-12-30,-2,-117.9,367649000,0.5225,0
2020-12-30,-2,-119.3,367649000,0.5002,0
2020-12-30,-2,-118.4,367649000,0.7969,0
2020-12-30,-2,-120.1,367649000,0.485,0
2020-12-30,-2,-116.7,367649000,0.4738,0
2020-12-30,-2,-116,367649000,0.5138,0
2020-12-30,-2,-117.8,367649000,0.5111,0
2020-12-30,-2,-120.3,367649000,0.4869,0
2020-12-30,-2,-118.6,367649000,0.3544,0
2020-12-30,-2,-116.4,367649000,0.6027,0
2020-12-30,-2,-116.8,367649000,0.5588,0
2020-12-30,-2,-117.1,367649000,0.5375,0
2020-12-30,-2,-118,367649000,0.5358,0
2020-12-30,-2,-117.4,367649000,0.5086,0
2020-12-30,-2,-118.7,367649000,0.6974,0
2020-12-30,-2,-116.9,367649000,0.4433,0
2020-12-30,-2,-117.3,367649000,0.533,0
2020-12-30,-2,-120,367649000,0.4719,0
2020-12-30,-2,-119.2,367649000,0.7858,0
2020-12-30,-2,-119.4,367649000,0.4233,0
2020-12-30,-2,-117.2,367649000,0.4975,0
2020-12-30,-2,-116.5,367649000,0.4922,0
2020-12-30,-2,-116.1,367649000,0.4844,0
2020-12-30,-2,-119.1,367649000,0.22,0
2020-12-30,-2,-120.5,367649000,0.4811,0
2020-12-30,-2,-117.6,367649000,0.6458,0
